gene,n_HC,n_MS,mean_HC,mean_MS,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
H3F3B,8,18,1.3869746,0.5626068,-1.189311281546279,0.057117913,0.2750121733104741,False,
SIPA1L1,8,18,0.09663161,0.2730927,0.254579511718471,0.06268359,0.2809954023566739,False,
NT5C3A,8,18,0.21197194,0.30569062,0.13520747164182612,0.061761215,0.2809954023566739,False,
TLN1,8,18,0.47486615,0.50973964,0.05031180468340604,0.079968,0.31502544654138165,False,
ATP5E,8,18,1.5922321,0.6810463,-1.3145632364732722,0.07580214,0.31502544654138165,False,
HBB,8,18,1.317543,0.36150494,-1.3792714508864277,0.079968,0.31502544654138165,False,
MT1X,8,18,0.29288223,0.23536137,-0.08298506869432243,0.079968,0.31502544654138165,True,0.22391039431095122
SLC26A3,8,18,0.086176395,0.31912565,0.3360747377040316,0.09062358,0.31840717268956675,False,
LYN,8,18,0.12304741,0.21711412,0.1357095749910201,0.090496235,0.31840717268956675,False,
ANK3,8,18,0.1304902,0.44279593,0.4505619545482201,0.090496235,0.31840717268956675,False,
TPM4,8,18,0.3050018,0.42291573,0.17011384438287064,0.090496235,0.31840717268956675,False,
ENSG00000282885,8,18,0.08770357,0.21387714,0.18202998481537072,0.097202435,0.33253464651735204,False,
HSPA1A,8,18,0.09990813,0.13619603,0.05235237883589326,0.10207166,0.34023885925610864,False,
SLC39A10,8,18,0.12209551,0.1778932,0.08049905947610053,0.1147186,0.3728354535996914,True,0.26767673591772717
