gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
LILRB2,18,0.16291912,0.024072293,-0.20031363241124675,1.5258789e-05,7.106236049107142e-05,False,
IGLC3,18,0.2998625,0.06945346,-0.33240998089462737,1.5258789e-05,7.106236049107142e-05,False,
IRAK3,18,0.1530896,0.033202883,-0.17295996377416792,1.5258789e-05,7.106236049107142e-05,False,
SERPINA1,18,0.2962194,0.07057916,-0.325530072920837,1.5258789e-05,7.106236049107142e-05,False,
DUSP2,18,0.17319852,0.38874015,0.31096084212480185,1.5258789e-05,7.106236049107142e-05,False,
VCAN,18,0.22446898,0.022562234,-0.29128985348007824,1.5258789e-05,7.106236049107142e-05,False,
FGFBP2,18,0.19661868,0.014082685,-0.2633437691042711,2.2888184e-05,0.00010363260904947917,False,
CD74,18,3.1975787,2.0782468,-1.614854489916859,3.8146973e-05,0.000144603640534157,False,
HLA-DRA,18,2.2103198,1.0975837,-1.6053388618272708,3.8146973e-05,0.000144603640534157,False,
LST1,18,0.5075461,0.17831033,-0.4749868446324308,3.8146973e-05,0.000144603640534157,False,
COL19A1,18,0.31118667,0.037326917,-0.395096087792432,3.8146973e-05,0.000144603640534157,False,
MAP3K7CL,18,0.12978564,0.041236155,-0.1277499061905346,3.8146973e-05,0.000144603640534157,False,
MS4A7,18,0.24454546,0.05213604,-0.2775881246728264,3.8146973e-05,0.000144603640534157,False,
PAX5,18,0.46337032,0.117188096,-0.49943538233113505,3.8146973e-05,0.000144603640534157,False,
MEF2C-AS1,18,0.12250677,0.05148978,-0.10245584803561036,5.340576e-05,0.00018924215565557066,False,
ITM2C,18,0.16007149,0.24685857,0.12520728243343182,5.340576e-05,0.00018924215565557066,False,
ACTN1,18,0.15659015,0.081662945,-0.10809710471113974,5.340576e-05,0.00018924215565557066,False,
FOS,18,0.4549145,0.17811957,-0.3993306876176388,7.6293945e-05,0.0002590815226236979,False,
NCOA4,18,0.2954762,0.18432719,-0.16035412991604525,7.6293945e-05,0.0002590815226236979,False,
MNDA,18,0.26543593,0.08592482,-0.25897979532995274,0.00010681152,0.00033481304462139425,False,
SPON2,18,0.17248884,0.06841545,-0.15014616416757734,0.00010681152,0.00033481304462139425,False,
EBF1,18,0.35984126,0.15250021,-0.2991298975979729,0.00010681152,0.00033481304462139425,False,
CSTA,18,0.1813342,0.04108189,-0.20234130786491927,0.00010681152,0.00033481304462139425,False,
KLRD1,18,0.22422235,0.08953013,-0.19431980055253295,0.0001449585,0.00044581575213738207,False,
AIF1,18,0.5101516,0.1866035,-0.4667812943857899,0.00019073486,0.0005551746913364955,False,
GZMA,18,0.37348625,0.6146507,0.3479267931012539,0.00019073486,0.0005551746913364955,False,
CST7,18,0.37347302,0.60213864,0.32989475612359015,0.00019073486,0.0005551746913364955,False,
IFITM3,18,0.46773836,0.25255275,-0.31044721593800007,0.00025177002,0.0007075605721309267,False,
KHDRBS2,18,0.25807744,0.06718302,-0.2754024401586737,0.00025177002,0.0007075605721309267,False,
PPBP,18,0.2475932,9.701823e-05,-0.3570615011170125,0.00029305238,0.0008096192786825221,False,
MT1E,18,0.029137608,0.06779242,0.055767110492147845,0.0004196167,0.0010522695688100962,True,0.00293731689453125
TOX,18,0.13794774,0.2720913,0.19352825040193686,0.0004196167,0.0010522695688100962,False,
HMOX1,18,0.12724389,0.044026412,-0.12005744468491156,0.0004196167,0.0010522695688100962,False,
ST6GALNAC3,18,0.15257248,0.048784133,-0.149734932151533,0.0004196167,0.0010522695688100962,False,
RPS17,18,2.260558,1.888016,-0.5374643580725702,0.0004196167,0.0010522695688100962,False,
INPP4B,18,0.33333105,0.69430804,0.5207797191730911,0.0004196167,0.0010522695688100962,False,
PIP5K1B,18,0.16835791,0.06925208,-0.1429794858723889,0.0005340576,0.0012992745015158581,False,
CMC1,18,0.25310624,0.34684643,0.13523851451030686,0.0005340576,0.0012992745015158581,False,
MYO1E,18,0.111916356,0.056121793,-0.08049453955705754,0.0006713867,0.001541352607834507,False,
LYZ,18,0.570267,0.19450189,-0.5421145109779242,0.0006713867,0.001541352607834507,False,
GAS7,18,0.15341683,0.056870177,-0.13928737307258182,0.0006713867,0.001541352607834507,False,
