gene,n_pairs,mean_PB,mean_CSF,log2FC,pvalue,padj,is_zinc,padj_zinc_panel
XCL2,18,0.1659795,0.11107738,-0.07920701831366232,0.0001449585,0.0010267893473307292,False,
PPBP,18,0.22862633,0.0002669987,-0.32945286820002956,0.00029305238,0.0019927561632357535,False,
FHIT,18,0.27882957,0.17275353,-0.1530353867107471,0.00032806396,0.0021450336162860575,False,
MT-CO3,18,3.8615744,3.4748366,-0.5579447400679168,0.0004196167,0.0026420310691550927,False,
PLCB1,18,0.29758522,0.18373726,-0.16424788162507334,0.0005340576,0.0031306825835129308,False,
CTSA,18,0.28495634,0.20194219,-0.119764096027118,0.0005340576,0.0031306825835129308,False,
FTH1,18,2.6026418,2.8448458,0.3494264388211149,0.0006713867,0.0034586588541666665,False,
IFITM3,18,0.40847108,0.23784953,-0.24615485557463088,0.0006713867,0.0034586588541666665,False,
RPL7,18,2.738168,2.369336,-0.5321122579777195,0.0006713867,0.0034586588541666665,False,
FTL,18,2.6719744,2.855705,0.26506722874639865,0.0006713867,0.0034586588541666665,False,
MT-ND2,18,2.9479709,2.6236517,-0.4678935921802451,0.001045227,0.005076817103794643,False,
RPS17,18,2.225715,1.8579135,-0.5306252959783597,0.001045227,0.005076817103794643,False,
FOS,18,0.47632763,0.12074873,-0.512991914785396,0.0012893677,0.006088680691189236,False,
LINC01934,18,0.28540525,0.42943323,0.20778844987220293,0.0014737805,0.006424171360543906,False,
LINC02446,18,0.14342257,0.05161105,-0.13245602869982884,0.0014737805,0.006424171360543906,False,
SLC26A3,18,0.32010525,0.5691203,0.3592527535694869,0.0014737805,0.006424171360543906,False,
TEX14,18,0.37222257,0.13727142,-0.3389628638578021,0.0019187657,0.007812863304501488,False,
AFF3,18,0.2245484,0.11688839,-0.15532056318842394,0.0019302368,0.007812863304501488,False,
CD79A,18,0.22763017,0.10028208,-0.1837244653808279,0.0019302368,0.007812863304501488,False,
TBXAS1,18,0.12941615,0.0805605,-0.07048381103684005,0.0023345947,0.008819580078125,False,
RGS1,18,0.08205295,0.15031303,0.09847848051151595,0.0023345947,0.008819580078125,False,
CD8A,18,0.57494885,0.39998177,-0.25242413914653283,0.0023345947,0.008819580078125,False,
CD8B,18,0.5343502,0.41639382,-0.17017511320224052,0.0028076172,0.009943644205729166,False,
NT5C3A,18,0.30668426,0.26293266,-0.0631202126064137,0.0028076172,0.009943644205729166,False,
SLC39A10,18,0.1793691,0.23670994,0.08272533189585687,0.0028076172,0.009943644205729166,True,0.0196533203125
RPL31,18,2.746902,2.4925373,-0.36697073300093175,0.003364563,0.011672973632812502,False,
TYROBP,18,0.51610255,0.29806897,-0.314555967458438,0.004005432,0.01361846923828125,False,
TRAC,18,1.091299,1.277494,0.2686224541050346,0.0047454834,0.01522136184404481,False,
ACTB,18,3.8393805,3.6008894,-0.3440698671773419,0.0047454834,0.01522136184404481,False,
TOX,18,0.26548538,0.35074487,0.12300345374961308,0.0047454834,0.01522136184404481,False,
FERMT3,18,0.40667728,0.307506,-0.14307391509662828,0.0055999756,0.017629552770543983,False,
ENSG00000249806,18,0.10266438,0.16959201,0.09655615518041258,0.0071324133,0.02204564120620489,False,
FCER1G,18,0.3596362,0.19768934,-0.23363991454748922,0.0076904297,0.023345947265625,False,
NCOA4,18,0.26997554,0.20527379,-0.09334489512350222,0.008964539,0.026275371683054955,False,
RNF11,18,0.17973252,0.1425721,-0.05361114135538952,0.008964539,0.026275371683054955,False,
YWHAH,18,0.21421993,0.2824958,0.09850125746383959,0.010406494,0.029001704982069672,False,
WWOX,18,0.4624858,0.36015603,-0.1476306384269011,0.010406494,0.029001704982069672,False,
RPL13A,18,3.4502568,2.910087,-0.7793001703404207,0.010406494,0.029001704982069672,False,
VCL,18,0.21123971,0.16903806,-0.060884115677726836,0.012031555,0.030990369392163826,False,
IKZF2,18,0.12693334,0.082222655,-0.06450387752609908,0.012031555,0.030990369392163826,False,
