tissue,dataset,total_counts,n_genes_detected
CSF,GSE133028,1491.0,882
CSF,GSE133028,2043.0,1168
CSF,GSE133028,2011.0,977
CSF,GSE133028,1710.0,782
CSF,GSE133028,2470.0,997
CSF,GSE133028,1833.0,811
CSF,GSE133028,2284.0,1084
CSF,GSE133028,1935.0,810
CSF,GSE133028,5083.0,1922
CSF,GSE133028,1841.0,841
CSF,GSE133028,2280.0,1083
CSF,GSE133028,1833.0,1008
CSF,GSE133028,2034.0,1021
CSF,GSE133028,3993.0,1495
CSF,GSE133028,3368.0,1376
CSF,GSE133028,7607.0,2467
CSF,GSE133028,2330.0,1099
CSF,GSE133028,1331.0,720
CSF,GSE133028,3387.0,1282
CSF,GSE133028,1797.0,769
CSF,GSE133028,1739.0,870
CSF,GSE133028,2043.0,969
CSF,GSE133028,3436.0,1161
CSF,GSE133028,1810.0,895
CSF,GSE133028,1424.0,768
CSF,GSE133028,2113.0,953
CSF,GSE133028,1592.0,788
CSF,GSE133028,5502.0,1989
CSF,GSE133028,1194.0,875
CSF,GSE133028,5164.0,1832
CSF,GSE133028,1300.0,714
CSF,GSE133028,1592.0,720
CSF,GSE133028,3604.0,1616
CSF,GSE133028,1882.0,825
CSF,GSE133028,3342.0,1226
CSF,GSE133028,1154.0,633
CSF,GSE133028,3851.0,1532
CSF,GSE133028,1145.0,700
CSF,GSE133028,1517.0,811
CSF,GSE133028,4028.0,1449
CSF,GSE133028,1886.0,818
CSF,GSE133028,974.0,633
CSF,GSE133028,1352.0,746
CSF,GSE133028,1474.0,700
CSF,GSE133028,1230.0,630
CSF,GSE133028,1789.0,751
CSF,GSE133028,3489.0,1354
CSF,GSE133028,4619.0,1644
CSF,GSE133028,2871.0,1109
CSF,GSE133028,1908.0,841
CSF,GSE133028,3130.0,1232
CSF,GSE133028,2783.0,1111
CSF,GSE133028,3104.0,1477
CSF,GSE133028,1941.0,945
CSF,GSE133028,924.0,551
CSF,GSE133028,1271.0,796
CSF,GSE133028,1487.0,705
CSF,GSE133028,1609.0,809
CSF,GSE133028,1891.0,836
CSF,GSE133028,1011.0,333
CSF,GSE133028,5515.0,2053
CSF,GSE133028,1865.0,751
CSF,GSE133028,4080.0,1742
CSF,GSE133028,2787.0,1006
CSF,GSE133028,2985.0,1269
CSF,GSE133028,1668.0,723
CSF,GSE133028,1508.0,767
CSF,GSE133028,1607.0,742
CSF,GSE133028,1311.0,593
CSF,GSE133028,1538.0,704
CSF,GSE133028,1620.0,880
CSF,GSE133028,2135.0,833
CSF,GSE133028,1634.0,848
CSF,GSE133028,938.0,541
CSF,GSE133028,6527.0,2045
CSF,GSE133028,995.0,215
CSF,GSE133028,1811.0,883
CSF,GSE133028,1448.0,772
CSF,GSE133028,2822.0,1353
CSF,GSE133028,1554.0,718
CSF,GSE133028,1653.0,803
CSF,GSE133028,2120.0,917
CSF,GSE133028,1342.0,750
CSF,GSE133028,2330.0,1409
CSF,GSE133028,5408.0,2455
CSF,GSE133028,912.0,423
CSF,GSE133028,3260.0,1225
CSF,GSE133028,1547.0,651
CSF,GSE133028,1398.0,744
CSF,GSE133028,1583.0,900
CSF,GSE133028,1605.0,679
CSF,GSE133028,2161.0,938
CSF,GSE133028,3045.0,1132
CSF,GSE133028,3174.0,1414
CSF,GSE133028,1535.0,754
CSF,GSE133028,1780.0,772
CSF,GSE133028,1714.0,833
CSF,GSE133028,2417.0,1328
CSF,GSE133028,966.0,486
CSF,GSE133028,1214.0,638
CSF,GSE133028,2580.0,1116
CSF,GSE133028,2260.0,881
CSF,GSE133028,2533.0,981
CSF,GSE133028,2462.0,1071
CSF,GSE133028,1404.0,700
CSF,GSE133028,1592.0,792
CSF,GSE133028,1972.0,813
CSF,GSE133028,1662.0,866
CSF,GSE133028,1809.0,866
CSF,GSE133028,1416.0,340
CSF,GSE133028,2331.0,835
CSF,GSE133028,1288.0,666
CSF,GSE133028,2293.0,1002
CSF,GSE133028,1944.0,947
CSF,GSE133028,2780.0,1266
CSF,GSE133028,1709.0,769
CSF,GSE133028,1167.0,687
CSF,GSE133028,3863.0,1429
CSF,GSE133028,1890.0,847
CSF,GSE133028,1033.0,644
CSF,GSE133028,3879.0,1520
CSF,GSE133028,1553.0,782
CSF,GSE133028,2723.0,1256
CSF,GSE133028,3025.0,1443
CSF,GSE133028,1732.0,913
CSF,GSE133028,1643.0,829
CSF,GSE133028,2167.0,837
CSF,GSE133028,2954.0,1137
CSF,GSE133028,4911.0,1833
CSF,GSE133028,4237.0,1472
CSF,GSE133028,5093.0,1684
CSF,GSE133028,1714.0,683
CSF,GSE133028,1736.0,744
CSF,GSE133028,2104.0,937
CSF,GSE133028,2861.0,1364
CSF,GSE133028,3821.0,1350
CSF,GSE133028,4151.0,1268
CSF,GSE133028,1291.0,656
CSF,GSE133028,1927.0,1112
CSF,GSE133028,1609.0,793
CSF,GSE133028,5568.0,2021
CSF,GSE133028,2946.0,1062
CSF,GSE133028,893.0,487
CSF,GSE133028,3306.0,1444
CSF,GSE133028,1934.0,776
CSF,GSE133028,1347.0,705
CSF,GSE133028,1657.0,898
CSF,GSE133028,1579.0,879
CSF,GSE133028,1567.0,773
CSF,GSE133028,2475.0,1071
CSF,GSE133028,1936.0,776
CSF,GSE133028,3162.0,1257
CSF,GSE133028,3841.0,1922
CSF,GSE133028,4564.0,1789
CSF,GSE133028,1720.0,761
CSF,GSE133028,2220.0,918
CSF,GSE133028,1220.0,362
CSF,GSE133028,1337.0,779
CSF,GSE133028,2197.0,997
CSF,GSE133028,2115.0,901
CSF,GSE133028,2685.0,1299
CSF,GSE133028,4177.0,1684
CSF,GSE133028,4204.0,1824
CSF,GSE133028,3812.0,1588
CSF,GSE133028,4771.0,2193
CSF,GSE133028,1704.0,992
CSF,GSE133028,2083.0,1269
CSF,GSE133028,1832.0,899
CSF,GSE133028,2444.0,1160
CSF,GSE133028,1611.0,765
CSF,GSE133028,2487.0,1082
CSF,GSE133028,1669.0,817
CSF,GSE133028,2212.0,1027
CSF,GSE133028,5772.0,1979
CSF,GSE133028,2877.0,1210
CSF,GSE133028,3807.0,1892
CSF,GSE133028,1185.0,607
CSF,GSE133028,1142.0,647
CSF,GSE133028,6334.0,2210
CSF,GSE133028,7526.0,2391
CSF,GSE133028,1685.0,734
CSF,GSE133028,2937.0,1079
CSF,GSE133028,1140.0,593
CSF,GSE133028,1700.0,864
CSF,GSE133028,1694.0,819
CSF,GSE133028,5971.0,2165
CSF,GSE133028,5596.0,2172
CSF,GSE133028,1108.0,664
CSF,GSE133028,3677.0,1729
CSF,GSE133028,1337.0,812
CSF,GSE133028,1925.0,905
CSF,GSE133028,8540.0,2822
CSF,GSE133028,9275.0,2858
CSF,GSE133028,3899.0,1521
CSF,GSE133028,1411.0,742
CSF,GSE133028,1688.0,744
CSF,GSE133028,2790.0,1163
CSF,GSE133028,1937.0,903
CSF,GSE133028,1393.0,729
CSF,GSE133028,1568.0,709
CSF,GSE133028,3116.0,1131
CSF,GSE133028,4624.0,1830
CSF,GSE133028,4721.0,1648
CSF,GSE133028,2301.0,1426
CSF,GSE133028,3695.0,1400
CSF,GSE133028,4855.0,1639
CSF,GSE133028,2040.0,985
CSF,GSE133028,4018.0,1670
CSF,GSE133028,4484.0,2011
CSF,GSE133028,2270.0,876
CSF,GSE133028,5540.0,1605
CSF,GSE133028,2104.0,1054
CSF,GSE133028,2222.0,1021
CSF,GSE133028,7566.0,2795
CSF,GSE133028,1698.0,803
CSF,GSE133028,2390.0,949
CSF,GSE133028,5003.0,1751
CSF,GSE133028,3008.0,1124
CSF,GSE133028,7617.0,2895
CSF,GSE133028,1387.0,563
CSF,GSE133028,1321.0,752
CSF,GSE133028,1370.0,717
CSF,GSE133028,7569.0,2703
CSF,GSE133028,2473.0,944
CSF,GSE133028,2027.0,938
CSF,GSE133028,2518.0,1080
CSF,GSE133028,7275.0,2653
CSF,GSE133028,1874.0,741
CSF,GSE133028,1673.0,764
CSF,GSE133028,3962.0,1479
CSF,GSE133028,1965.0,1012
CSF,GSE133028,1251.0,656
CSF,GSE133028,2763.0,631
CSF,GSE133028,3756.0,1452
CSF,GSE133028,1485.0,691
CSF,GSE133028,1061.0,565
CSF,GSE133028,4994.0,2159
CSF,GSE133028,1531.0,802
CSF,GSE133028,2263.0,1123
CSF,GSE133028,2940.0,1443
CSF,GSE133028,888.0,346
CSF,GSE133028,1891.0,843
CSF,GSE133028,3366.0,1357
CSF,GSE133028,2241.0,1075
CSF,GSE133028,1640.0,775
CSF,GSE133028,4251.0,2020
CSF,GSE133028,8408.0,2542
CSF,GSE133028,2368.0,1102
CSF,GSE133028,2279.0,1250
CSF,GSE133028,2336.0,1276
CSF,GSE133028,3700.0,1419
CSF,GSE133028,1881.0,937
CSF,GSE133028,2899.0,1267
CSF,GSE133028,2617.0,1199
CSF,GSE133028,5178.0,1683
CSF,GSE133028,1860.0,924
CSF,GSE133028,1227.0,421
CSF,GSE133028,2571.0,1052
CSF,GSE133028,1472.0,729
CSF,GSE133028,1469.0,703
CSF,GSE133028,3275.0,1510
CSF,GSE133028,2085.0,1049
CSF,GSE133028,10529.0,3361
CSF,GSE133028,2063.0,1044
CSF,GSE133028,1426.0,843
CSF,GSE133028,3922.0,1484
CSF,GSE133028,1635.0,926
CSF,GSE133028,1782.0,850
CSF,GSE133028,1891.0,1051
CSF,GSE133028,2051.0,924
CSF,GSE133028,993.0,383
CSF,GSE133028,2856.0,1061
CSF,GSE133028,2300.0,1026
CSF,GSE133028,7240.0,2669
CSF,GSE133028,1075.0,628
CSF,GSE133028,953.0,511
CSF,GSE133028,4880.0,1856
CSF,GSE133028,2163.0,889
CSF,GSE133028,1630.0,801
CSF,GSE133028,899.0,510
CSF,GSE133028,4047.0,1575
CSF,GSE133028,1275.0,609
CSF,GSE133028,2000.0,888
CSF,GSE133028,1451.0,786
CSF,GSE133028,1636.0,719
CSF,GSE133028,1792.0,810
CSF,GSE133028,1518.0,714
CSF,GSE133028,2904.0,1092
CSF,GSE133028,5052.0,1877
CSF,GSE133028,1494.0,737
CSF,GSE133028,1550.0,823
CSF,GSE133028,3142.0,1268
CSF,GSE133028,2635.0,1080
CSF,GSE133028,2366.0,1154
CSF,GSE133028,2755.0,1310
CSF,GSE133028,2764.0,1212
CSF,GSE133028,3076.0,1521
CSF,GSE133028,9051.0,3002
CSF,GSE133028,2712.0,1192
CSF,GSE133028,4484.0,1586
CSF,GSE133028,3307.0,1574
CSF,GSE133028,4309.0,1805
CSF,GSE133028,2584.0,1066
CSF,GSE133028,3567.0,1654
CSF,GSE133028,1876.0,863
CSF,GSE133028,1408.0,741
CSF,GSE133028,867.0,661
CSF,GSE133028,1750.0,787
CSF,GSE133028,1502.0,770
CSF,GSE133028,4254.0,2001
CSF,GSE133028,5898.0,2215
CSF,GSE133028,3205.0,1369
CSF,GSE133028,4756.0,2013
CSF,GSE133028,1306.0,645
CSF,GSE133028,1858.0,883
CSF,GSE133028,1858.0,970
CSF,GSE133028,2838.0,1108
CSF,GSE133028,3013.0,1029
CSF,GSE133028,2052.0,944
CSF,GSE133028,1142.0,620
CSF,GSE133028,1632.0,790
CSF,GSE133028,2114.0,931
CSF,GSE133028,2373.0,1083
CSF,GSE133028,5907.0,2183
CSF,GSE133028,2782.0,1202
CSF,GSE133028,2300.0,1033
CSF,GSE133028,2380.0,1101
CSF,GSE133028,1840.0,832
CSF,GSE133028,2063.0,1060
CSF,GSE133028,1557.0,740
CSF,GSE133028,1504.0,737
CSF,GSE133028,4727.0,1526
CSF,GSE133028,1858.0,942
CSF,GSE133028,3230.0,1423
CSF,GSE133028,3611.0,1412
CSF,GSE133028,2898.0,1178
CSF,GSE133028,2309.0,1291
CSF,GSE133028,2028.0,1006
CSF,GSE133028,1286.0,548
CSF,GSE133028,1806.0,1199
CSF,GSE133028,4235.0,1682
CSF,GSE133028,2797.0,1215
CSF,GSE133028,2004.0,961
